/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
5.017035077995875e-08,1.100000000134232,5.017035077995875e-08,7.039332304254238e-11,5.017035077995875e-08,1.099999999999043,5.017035077995875e-08,1.099999999999044,5.017035077995875e-08,1.099999999999046,5.017035077995875e-08,1.099999999998998,5.017035077995875e-08,1.100000001325379,5.017035077995875e-08,2.409205021618503e-10,5.017035077995875e-08,1.100000000115919,5.017035077995875e-08,1.05744475435137e-05,5.017035077995875e-08,4.198446311639053e-11,5.017035077995875e-08,2.692877864828097e-11,5.017035077995875e-08,1.092248252566311e-10,5.017035077995875e-08,2.112883261059065e-11,5.017035077995875e-08,1.099703825390773,5.017035077995875e-08,1.099710265638509,5.017035077995875e-08,1.099683748209433,5.017035077995875e-08,1.099738472344916
5.018908817895597e-08,1.099999999779707,5.018908817895597e-08,5.01023891135109e-11,5.018908817895597e-08,1.099999999999087,5.018908817895597e-08,1.099999999999106,5.018908817895597e-08,1.099999999999097,5.018908817895597e-08,1.099999999999091,5.018908817895597e-08,1.100000001390243,5.018908817895597e-08,2.530811618904476e-10,5.018908817895597e-08,1.100000000167467,5.018908817895597e-08,1.713235823916255e-05,5.018908817895597e-08,9.218919472145477e-11,5.018908817895597e-08,6.693387135900819e-11,5.018908817895597e-08,7.945366825300304e-11,5.018908817895597e-08,1.786096693190453e-11,5.018908817895597e-08,1.099749210689517,5.018908817895597e-08,1.099759460049837,5.018908817895597e-08,1.099728981579894,5.018908817895597e-08,1.099767408549911
5.021518370102202e-08,1.100000000145452,5.021518370102202e-08,-1.019486073736632e-10,5.021518370102202e-08,1.099999999999044,5.021518370102202e-08,1.099999999999028,5.021518370102202e-08,1.099999999999036,5.021518370102202e-08,1.099999999999054,5.021518370102202e-08,1.100000001345009,5.021518370102202e-08,1.520290993314132e-10,5.021518370102202e-08,1.100000000112894,5.021518370102202e-08,1.867742655594302e-05,5.021518370102202e-08,9.818962079578986e-11,5.021518370102202e-08,7.111957088646505e-11,5.021518370102202e-08,1.273619401346303e-11,5.021518370102202e-08,5.407942486729299e-12,5.021518370102202e-08,1.099798173175259,5.021518370102202e-08,1.099814791845217,5.021518370102202e-08,1.099781321878552,5.021518370102202e-08,1.099794625367823
5.024829318692494e-08,1.099999999798896,5.024829318692494e-08,2.694318855060445e-11,5.024829318692494e-08,1.099999999999097,5.024829318692494e-08,1.099999999999107,5.024829318692494e-08,1.099999999999102,5.024829318692494e-08,1.099999999999156,5.024829318692494e-08,1.10000000101773,5.024829318692494e-08,1.478787801708563e-11,5.024829318692494e-08,1.100000000042554,5.024829318692494e-08,1.079099265220353e-05,5.024829318692494e-08,7.509450128454144e-11,5.024829318692494e-08,5.123145387798277e-11,5.024829318692494e-08,-3.724946359797414e-11,5.024829318692494e-08,-2.388526529423141e-12,5.024829318692494e-08,1.099824666296414,5.024829318692494e-08,1.099842696893598,5.024829318692494e-08,1.099814541641794,5.024829318692494e-08,1.099810002993102
5.027786171578233e-08,1.10000000014927,5.027786171578233e-08,-8.300278835234141e-11,5.027786171578233e-08,1.099999999999048,5.027786171578233e-08,1.099999999999018,5.027786171578233e-08,1.099999999999023,5.027786171578233e-08,1.099999999999081,5.027786171578233e-08,1.100000000699187,5.027786171578233e-08,-4.679917561208954e-11,5.027786171578233e-08,1.100000000005952,5.027786171578233e-08,2.104516385569771e-06,5.027786171578233e-08,4.235418208775631e-11,5.027786171578233e-08,2.688807026229347e-11,5.027786171578233e-08,-7.564733986912334e-11,5.027786171578233e-08,-9.324620158661259e-12,5.027786171578233e-08,1.099827758246886,5.027786171578233e-08,1.099843324562152,5.027786171578233e-08,1.099824489075854,5.027786171578233e-08,1.099814444358224
5.031227877484275e-08,1.099999999811472,5.031227877484275e-08,3.588882214276518e-11,5.031227877484275e-08,1.099999999999093,5.031227877484275e-08,1.099999999999109,5.031227877484275e-08,1.099999999999097,5.031227877484275e-08,1.09999999999916,5.031227877484275e-08,1.10000000038613,5.031227877484275e-08,-5.517413831922877e-11,5.031227877484275e-08,1.099999999996151,5.031227877484275e-08,-3.437413192694835e-06,5.031227877484275e-08,2.670678306851102e-11,5.031227877484275e-08,1.584699400504386e-11,5.031227877484275e-08,-6.328204412446852e-11,5.031227877484275e-08,-5.54920274407951e-12,5.031227877484275e-08,1.099824356994027,5.031227877484275e-08,1.099837447741846,5.031227877484275e-08,1.099827478496721,5.031227877484275e-08,1.09981515039796
5.035868632274491e-08,1.100000000150709,5.035868632274491e-08,-6.971543338595295e-11,5.035868632274491e-08,1.099999999999049,5.035868632274491e-08,1.099999999999024,5.035868632274491e-08,1.099999999999025,5.035868632274491e-08,1.09999999999906,5.035868632274491e-08,1.100000000176059,5.035868632274491e-08,-3.719540722936833e-11,5.035868632274491e-08,1.099999999988309,5.035868632274491e-08,-4.599334245850212e-06,5.035868632274491e-08,9.024860998630504e-12,5.035868632274491e-08,5.404105431929554e-12,5.035868632274491e-08,-5.538929731689093e-11,5.035868632274491e-08,-3.760067460769194e-12,5.035868632274491e-08,1.09981930659024,5.035868632274491e-08,1.099830353955532,5.035868632274491e-08,1.099827619287979,5.035868632274491e-08,1.099814481594958
5.041319293542478e-08,1.099999999819823,5.041319293542478e-08,4.157557238787037e-11,5.041319293542478e-08,1.099999999999091,5.041319293542478e-08,1.099999999999115,5.041319293542478e-08,1.099999999999103,5.041319293542478e-08,1.099999999999133,5.041319293542478e-08,1.100000000044569,5.041319293542478e-08,-1.309706244202922e-11,5.041319293542478e-08,1.099999999993172,5.041319293542478e-08,-2.820563737283221e-06,5.041319293542478e-08,9.093726474590295e-12,5.041319293542478e-08,6.495734760316479e-12,5.041319293542478e-08,-1.910120991149479e-11,5.041319293542478e-08,2.979520149749829e-12,5.041319293542478e-08,1.099816009964706,5.041319293542478e-08,1.099825780625919,5.041319293542478e-08,1.099826914785571,5.041319293542478e-08,1.099813817365275
5.047546540984498e-08,1.100000000151908,5.047546540984498e-08,-6.118832162033777e-11,5.047546540984498e-08,1.09999999999905,5.047546540984498e-08,1.099999999999026,5.047546540984498e-08,1.09999999999903,5.047546540984498e-08,1.099999999999036,5.047546540984498e-08,1.100000000020998,5.047546540984498e-08,-4.178585732081628e-12,5.047546540984498e-08,1.099999999991008,5.047546540984498e-08,-1.085799763331697e-06,5.047546540984498e-08,2.020687443972314e-12,5.047546540984498e-08,2.498025850928469e-12,5.047546540984498e-08,-1.386869088200245e-11,5.047546540984498e-08,1.718613338801382e-12,5.047546540984498e-08,1.099814687500845,5.047546540984498e-08,1.099823603045557,5.047546540984498e-08,1.099826308126321,5.047546540984498e-08,1.099813539552671
5.055284774779846e-08,1.099999999825557,5.055284774779846e-08,4.469290407100446e-11,5.055284774779846e-08,1.099999999999091,5.055284774779846e-08,1.099999999999117,5.055284774779846e-08,1.099999999999107,5.055284774779846e-08,1.099999999999118,5.055284774779846e-08,1.099999999987557,5.055284774779846e-08,1.04908559652523e-13,5.055284774779846e-08,1.099999999994285,5.055284774779846e-08,-3.049329680288298e-07,5.055284774779846e-08,6.044614906095271e-12,5.055284774779846e-08,4.982443208518568e-12,5.055284774779846e-08,5.682711373399611e-12,5.055284774779846e-08,4.611754897575466e-12,5.055284774779846e-08,1.099814207600411,5.055284774779846e-08,1.099822211787953,5.055284774779846e-08,1.099825530964953,5.055284774779846e-08,1.099813176331723
