/A0 (Design_Point=1) X,/A0 (Design_Point=1) Y,/A1 (Design_Point=1) X,/A1 (Design_Point=1) Y,/Data_In_1 (Design_Point=1) X,/Data_In_1 (Design_Point=1) Y,/Data_In_2 (Design_Point=1) X,/Data_In_2 (Design_Point=1) Y,/Data_In_3 (Design_Point=1) X,/Data_In_3 (Design_Point=1) Y,/Data_In_4 (Design_Point=1) X,/Data_In_4 (Design_Point=1) Y,/EN (Design_Point=1) X,/EN (Design_Point=1) Y,/SAE (Design_Point=1) X,/SAE (Design_Point=1) Y,/WE (Design_Point=1) X,/WE (Design_Point=1) Y,/OA_Charge (Design_Point=1) X,/OA_Charge (Design_Point=1) Y,/IA_AnalogR1 (Design_Point=1) X,/IA_AnalogR1 (Design_Point=1) Y,/IA_AnalogR2 (Design_Point=1) X,/IA_AnalogR2 (Design_Point=1) Y,/IA_AnalogR3 (Design_Point=1) X,/IA_AnalogR3 (Design_Point=1) Y,/IA_AnalogR4 (Design_Point=1) X,/IA_AnalogR4 (Design_Point=1) Y,/Read_Out_1 (Design_Point=1) X,/Read_Out_1 (Design_Point=1) Y,/Read_Out_2 (Design_Point=1) X,/Read_Out_2 (Design_Point=1) Y,/Read_Out_3 (Design_Point=1) X,/Read_Out_3 (Design_Point=1) Y,/Read_Out_4 (Design_Point=1) X,/Read_Out_4 (Design_Point=1) Y
5.009204760574982e-08,1.012523653405847,5.009204760574982e-08,2.084378758141625e-09,5.009204760574982e-08,1.100000000000527,5.009204760574982e-08,1.100000000000527,5.009204760574982e-08,1.100000000000527,5.009204760574982e-08,1.100000000000526,5.009204760574982e-08,1.099999997612082,5.009204760574982e-08,-6.890283997032481e-11,5.009204760574982e-08,1.099999999712116,5.009204760574982e-08,-3.126684726070982e-05,5.009204760574982e-08,-3.881259192925351e-10,5.009204760574982e-08,-6.313489864370899e-12,5.009204760574982e-08,4.366548715481605e-10,5.009204760574982e-08,-6.167095950837214e-12,5.009204760574982e-08,1.099600068821809,5.009204760574982e-08,1.099600068187705,5.009204760574982e-08,1.099600069541066,5.009204760574982e-08,1.099600073188651
5.009525525431615e-08,1.047807787369488,5.009525525431615e-08,1.923093873693515e-09,5.009525525431615e-08,1.099999999999269,5.009525525431615e-08,1.099999999999269,5.009525525431615e-08,1.099999999999269,5.009525525431615e-08,1.09999999999927,5.009525525431615e-08,1.09999999782287,5.009525525431615e-08,5.779272730868658e-12,5.009525525431615e-08,1.100000000248967,5.009525525431615e-08,-1.737796242209636e-05,5.009525525431615e-08,-4.15438910190253e-10,5.009525525431615e-08,-2.100141726325207e-12,5.009525525431615e-08,6.263382238363993e-10,5.009525525431615e-08,-2.129097848671938e-12,5.009525525431615e-08,1.099607917833346,5.009525525431615e-08,1.099607917827157,5.009525525431615e-08,1.099607919013275,5.009525525431615e-08,1.099607921684392
5.009762762715807e-08,1.073903889551788,5.009762762715807e-08,1.70775873504231e-09,5.009762762715807e-08,1.099999999999854,5.009762762715807e-08,1.099999999999854,5.009762762715807e-08,1.099999999999854,5.009762762715807e-08,1.099999999999854,5.009762762715807e-08,1.099999998555353,5.009762762715807e-08,3.576702764961406e-11,5.009762762715807e-08,1.100000000644031,5.009762762715807e-08,-7.427796734122688e-06,5.009762762715807e-08,-1.493183902090453e-10,5.009762762715807e-08,4.861106355775411e-12,5.009762762715807e-08,3.709732998282519e-10,5.009762762715807e-08,4.97467074196643e-12,5.009762762715807e-08,1.09962954354955,5.009762762715807e-08,1.099629543814606,5.009762762715807e-08,1.099629544639686,5.009762762715807e-08,1.09962954624762
5.01e-08,1.099999990258244,5.01e-08,1.72127165201232e-09,5.01e-08,1.099999999998781,5.01e-08,1.099999999998781,5.01e-08,1.099999999998781,5.01e-08,1.099999999998782,5.01e-08,1.09999999917354,5.01e-08,6.097718402037008e-11,5.01e-08,1.10000000081404,5.01e-08,6.808890075356765e-07,5.01e-08,-1.980704007222364e-10,5.01e-08,7.05841502462162e-12,5.01e-08,4.331181872103271e-10,5.01e-08,7.000056251852512e-12,5.01e-08,1.09966218171555,5.01e-08,1.099662182013712,5.01e-08,1.099662182490493,5.01e-08,1.099662183276453
5.010255132046506e-08,1.09999999944009,5.010255132046506e-08,1.00496664446946e-09,5.010255132046506e-08,1.099999999999075,5.010255132046506e-08,1.099999999999075,5.010255132046506e-08,1.099999999999075,5.010255132046506e-08,1.099999999999075,5.010255132046506e-08,1.09999999941257,5.010255132046506e-08,7.892079690954281e-11,5.010255132046506e-08,1.100000000937422,5.010255132046506e-08,7.557309869360109e-06,5.010255132046506e-08,-5.61053225611995e-12,5.010255132046506e-08,1.0702434658593e-11,5.010255132046506e-08,2.664975542566588e-10,5.010255132046506e-08,1.075321406932753e-11,5.010255132046506e-08,1.099703543676065,5.010255132046506e-08,1.099703543922701,5.010255132046506e-08,1.099703544400765,5.010255132046506e-08,1.099703545204826
5.010588537613048e-08,1.099999999654677,5.010588537613048e-08,7.772692502159576e-10,5.010588537613048e-08,1.099999999998837,5.010588537613048e-08,1.099999999998837,5.010588537613048e-08,1.099999999998837,5.010588537613048e-08,1.099999999998837,5.010588537613048e-08,1.099999999697591,5.010588537613048e-08,9.992743130300043e-11,5.010588537613048e-08,1.100000000869479,5.010588537613048e-08,1.807588079866114e-05,5.010588537613048e-08,2.248821489518417e-10,5.010588537613048e-08,1.537840588628372e-11,5.010588537613048e-08,1.851936765902624e-10,5.010588537613048e-08,1.529747132455464e-11,5.010588537613048e-08,1.099754875182027,5.010588537613048e-08,1.099754875376982,5.010588537613048e-08,1.099754876105723,5.010588537613048e-08,1.099754877481991
5.010935991505659e-08,1.09999999973867,5.010935991505659e-08,5.141495833307315e-10,5.010935991505659e-08,1.099999999998481,5.010935991505659e-08,1.099999999998481,5.010935991505659e-08,1.099999999998481,5.010935991505659e-08,1.099999999998481,5.010935991505659e-08,1.099999999891101,5.010935991505659e-08,6.230721665424453e-11,5.010935991505659e-08,1.100000000375097,5.010935991505659e-08,2.408503314379967e-05,5.010935991505659e-08,1.60900795557742e-10,5.010935991505659e-08,1.546164751854182e-11,5.010935991505659e-08,2.377636770074346e-11,5.010935991505659e-08,1.549642940367319e-11,5.010935991505659e-08,1.099784098680822,5.010935991505659e-08,1.099784098689341,5.010935991505659e-08,1.099784099786682,5.010935991505659e-08,1.099784102159503
5.01144784969612e-08,1.099999999821675,5.01144784969612e-08,2.041207369653005e-10,5.01144784969612e-08,1.099999999999279,5.01144784969612e-08,1.099999999999279,5.01144784969612e-08,1.099999999999279,5.01144784969612e-08,1.099999999999279,5.01144784969612e-08,1.099999999907994,5.01144784969612e-08,3.496330800297259e-11,5.01144784969612e-08,1.099999999972569,5.01144784969612e-08,2.257286082118616e-05,5.01144784969612e-08,2.458630536486494e-10,5.01144784969612e-08,1.486019561659891e-11,5.01144784969612e-08,-9.947638850262416e-11,5.01144784969612e-08,1.483142669852096e-11,5.01144784969612e-08,1.099787821425933,5.01144784969612e-08,1.099787821044341,5.01144784969612e-08,1.099787822251937,5.01144784969612e-08,1.099787825291018
5.011986006167156e-08,1.099999999850402,5.011986006167156e-08,2.899413177085374e-11,5.011986006167156e-08,1.099999999999408,5.011986006167156e-08,1.099999999999408,5.011986006167156e-08,1.099999999999408,5.011986006167156e-08,1.099999999999408,5.011986006167156e-08,1.09999999997877,5.011986006167156e-08,5.882501860759715e-12,5.011986006167156e-08,1.099999999881105,5.011986006167156e-08,1.503663087863687e-05,5.011986006167156e-08,1.11028720421603e-10,5.011986006167156e-08,8.650160473001341e-12,5.011986006167156e-08,-1.602819553038802e-10,5.011986006167156e-08,8.675396043982083e-12,5.011986006167156e-08,1.099772403313598,5.011986006167156e-08,1.099772402761329,5.011986006167156e-08,1.09977240370032,5.011986006167156e-08,1.099772406360471
5.012617387829425e-08,1.099999999893748,5.012617387829425e-08,-5.919929829299577e-11,5.012617387829425e-08,1.099999999999411,5.012617387829425e-08,1.099999999999411,5.012617387829425e-08,1.099999999999411,5.012617387829425e-08,1.099999999999411,5.012617387829425e-08,1.099999999929573,5.012617387829425e-08,1.411487097554601e-11,5.012617387829425e-08,1.099999999953614,5.012617387829425e-08,6.969905011670477e-06,5.012617387829425e-08,1.65367207192787e-10,5.012617387829425e-08,5.350660858994776e-12,5.012617387829425e-08,-1.196808220169604e-10,5.012617387829425e-08,5.322084972813748e-12,5.012617387829425e-08,1.099758315305094,5.012617387829425e-08,1.099758314912234,5.012617387829425e-08,1.099758315353455,5.012617387829425e-08,1.099758316765055
5.013351413834239e-08,1.099999999905351,5.013351413834239e-08,-9.050156703851729e-11,5.013351413834239e-08,1.099999999999144,5.013351413834239e-08,1.099999999999144,5.013351413834239e-08,1.099999999999143,5.013351413834239e-08,1.099999999999144,5.013351413834239e-08,1.100000000006385,5.013351413834239e-08,-4.623696709717825e-12,5.013351413834239e-08,1.099999999955057,5.013351413834239e-08,7.701085929900055e-07,5.013351413834239e-08,3.631971830341155e-11,5.013351413834239e-08,2.674744860960477e-13,5.013351413834239e-08,-1.278608070415981e-10,5.013351413834239e-08,2.922715817409443e-13,5.013351413834239e-08,1.099749956843955,5.013351413834239e-08,1.09974995669365,5.013351413834239e-08,1.099749956682555,5.013351413834239e-08,1.099749956909595
5.014268163990684e-08,1.099999999933979,5.014268163990684e-08,-8.994999858023889e-11,5.014268163990684e-08,1.099999999999265,5.014268163990684e-08,1.099999999999265,5.014268163990684e-08,1.099999999999266,5.014268163990684e-08,1.099999999999265,5.014268163990684e-08,1.0999999999581,5.014268163990684e-08,8.465634498260318e-12,5.014268163990684e-08,1.099999999999605,5.014268163990684e-08,-2.62739366663065e-06,5.014268163990684e-08,1.073146405415967e-10,5.014268163990684e-08,6.299528043322972e-13,5.014268163990684e-08,-6.446046427755898e-11,5.014268163990684e-08,6.032331466140766e-13,5.014268163990684e-08,1.099745818993705,5.014268163990684e-08,1.099745819018871,5.014268163990684e-08,1.09974581879281,5.014268163990684e-08,1.09974581833363
5.015468822233381e-08,1.099999999936188,5.015468822233381e-08,-8.171788540100697e-11,5.015468822233381e-08,1.099999999999155,5.015468822233381e-08,1.099999999999155,5.015468822233381e-08,1.099999999999155,5.015468822233381e-08,1.099999999999155,5.015468822233381e-08,1.100000000023801,5.015468822233381e-08,-7.20347826526549e-12,5.015468822233381e-08,1.099999999979303,5.015468822233381e-08,-3.314998072538196e-06,5.015468822233381e-08,-7.846198842562236e-12,5.015468822233381e-08,-6.795117989925306e-13,5.015468822233381e-08,-7.086242168869129e-11,5.015468822233381e-08,-6.534493909614676e-13,5.015468822233381e-08,1.099744321803198,5.015468822233381e-08,1.099744321888608,5.015468822233381e-08,1.099744321655044,5.015468822233381e-08,1.099744321079536
5.017120279318569e-08,1.099999999958933,5.017120279318569e-08,-5.853225426520778e-11,5.017120279318569e-08,1.099999999999274,5.017120279318569e-08,1.099999999999274,5.017120279318569e-08,1.099999999999274,5.017120279318569e-08,1.099999999999274,5.017120279318569e-08,1.099999999964744,5.017120279318569e-08,7.698901633585952e-12,5.017120279318569e-08,1.100000000007002,5.017120279318569e-08,-2.086097003049524e-06,5.017120279318569e-08,7.595160755254694e-11,5.017120279318569e-08,2.478269432613844e-12,5.017120279318569e-08,-1.309039809888227e-11,5.017120279318569e-08,2.452015030153167e-12,5.017120279318569e-08,1.099744068164594,5.017120279318569e-08,1.099744068224739,5.017120279318569e-08,1.099744068080203,5.017120279318569e-08,1.099744067712932
5.019569763769361e-08,1.099999999958017,5.019569763769361e-08,-4.506394306763095e-11,5.019569763769361e-08,1.099999999999164,5.019569763769361e-08,1.099999999999164,5.019569763769361e-08,1.099999999999164,5.019569763769361e-08,1.099999999999164,5.019569763769361e-08,1.100000000025045,5.019569763769361e-08,-7.393551740575831e-12,5.019569763769361e-08,1.099999999980331,5.019569763769361e-08,-6.88888507737865e-07,5.019569763769361e-08,-3.256670316336084e-11,5.019569763769361e-08,1.871722195136466e-12,5.019569763769361e-08,-3.173418056238004e-11,5.019569763769361e-08,1.897934910220998e-12,5.019569763769361e-08,1.099744012014678,5.019569763769361e-08,1.099744012032119,5.019569763769361e-08,1.09974401198655,5.019569763769361e-08,1.09974401185052
