"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
nom,nom,ff,ff,ss,ss,fnsp,fnsp
9.03502652138611e-08,2.519615040703109e-08,5.567057749955957e-08,2.338792793117149e-07,6.138373531294446e-08,9.69410199896888e-09,8.893464990402005e-08,1.469416096157843e-07
1e-07,4.403910606539769e-08,5.860875677978295e-08,2.714543938577541e-07,6.712146892341409e-08,1.755540086945748e-08,1e-07,1.487344044508803e-07
1.00025e-07,3.671744326993364e-08,6.333037334431204e-08,3.417056648265545e-07,7.540285301728465e-08,2.92409489767723e-08,1.00025e-07,1.460629837572965e-07
1.00064836008891e-07,5.935003362290803e-08,7.144337030892015e-08,3.37250219435473e-07,8.887011933841893e-08,4.183204856882882e-08,1.000649233285859e-07,1.961687585038871e-07
1.000736270066682e-07,4.836268886558083e-07,8.301416989678336e-08,3.697159205963812e-07,1e-07,5.100954439111798e-08,1.000736924964394e-07,8.607690913444407e-07
1.000865588470361e-07,-1.436444233779858e-07,9.150708494839168e-08,3.442779427304442e-07,1.00025e-07,5.101489630959177e-08,1.000866823752454e-07,-3.726827272934628e-06
1.00093279423518e-07,-7.012441425565569e-06,1e-07,3.702648745560545e-07,1.000642985952342e-07,1.314214871835513e-08,1.000933411876227e-07,-1.407945486194803e-05
1.00096639711759e-07,-1.421523739048071e-05,1.0000625e-07,3.612438589572012e-07,1.000732239464256e-07,-3.718539109150288e-08,1.000966705938113e-07,-2.169178843751117e-05
1.001e-07,-2.221559932220391e-05,1.000220639281293e-07,3.554287499894317e-07,1.000834743903127e-07,3.343819766170502e-08,1.001e-07,-2.904901461689965e-05
1.001032789253713e-07,-2.888372061473776e-05,1.000325277249407e-07,3.411041968293729e-07,1.000930671688719e-07,5.912414602816973e-07,1.001030591455946e-07,-3.449852592739017e-05
