marker,signal,sample_time_ns,variable_group,sampled_v,header_label,umc_mc_dvth0_n_splvt,umc_mc_dvth0_p_splvt,umc_mc_dvth0_n_sphvt,umc_mc_dvth0_p_sphvt
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550346291129091,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=-0.006)",0.0,-0.006,0.0,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550554441031789,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0)",0.0,-0.006,0.0,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550763338548618,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0.006)",0.0,-0.006,0.0,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550346291129091,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=-0.006)",0.0,-0.006,0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550554441031789,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0)",0.0,-0.006,0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7550763338548618,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=-0.006,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0.006)",0.0,-0.006,0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7553980869423083,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=-0.006)",0.0,0.0,-0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554211608049415,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0)",0.0,0.0,-0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554465977188335,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0.006)",0.0,0.0,-0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7553980869423083,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=-0.006)",0.0,0.0,0.0,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554211608049415,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0)",0.0,0.0,0.0,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554465977188335,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0.006)",0.0,0.0,0.0,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7553980869423083,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=-0.006)",0.0,0.0,0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554211608049415,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0)",0.0,0.0,0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7554465977188335,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0,umc_mc_dvth0_n_sphvt=0.006,umc_mc_dvth0_p_sphvt=0.006)",0.0,0.0,0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558146445042352,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=-0.006)",0.0,0.006,-0.006,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558319475102646,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0)",0.0,0.006,-0.006,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558456931286076,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=-0.006,umc_mc_dvth0_p_sphvt=0.006)",0.0,0.006,-0.006,0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558146445042352,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=-0.006)",0.0,0.006,0.0,-0.006
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558319475102646,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0)",0.0,0.006,0.0,0.0
dvth0_grid,/OA_Charge,200.25,dvth0_grid,0.7558456931286076,"/OA_Charge (umc_mc_dvth0_n_splvt=0,umc_mc_dvth0_p_splvt=0.006,umc_mc_dvth0_n_sphvt=0,umc_mc_dvth0_p_sphvt=0.006)",0.0,0.006,0.0,0.006
